name,symbol,price,change,volume,mkt_cap,PE_ratio
The Campbell's Company,CPB,31.29,-0.66,6.475M,9.324B,15.57
Texas Instruments Incorporated,TXN,181.81,+1.49,5.942M,165.29B,33.24
Barclays PLC,BCS,20.63,-0.34,5.914M,72.016B,9.46
Las Vegas Sands Corp.,LVS,52.27,+1.30,5.906M,35.881B,26.40
"DexCom, Inc.",DXCM,66.36,-0.69,5.895M,26.023B,46.73
BP p.l.c.,BP,34.83,+0.67,5.906M,90.389B,139.32
"Dominion Energy, Inc.",D,61.50,-0.03,5.87M,52.486B,20.43
AbbVie Inc.,ABBV,230.19,-3.72,5.858M,411.251B,109.09
STMicroelectronics N.V.,STM,28.92,+0.13,5.818M,25.866B,61.53
"Sarepta Therapeutics, Inc.",SRPT,23.26,+0.62,6.08M,2.435B,--
GitLab Inc.,GTLB,47.13,+0.22,6.061M,7.86B,--
Cameco Corporation,CCJ,85.31,+1.14,6.013M,37.206B,96.94
Invitation Homes Inc.,INVH,28.22,-0.42,5.721M,17.335B,31.71
"Toast, Inc.",TOST,36.95,+0.31,5.751M,21.542B,94.74
"Baidu, Inc.",BIDU,144.91,+2.91,5.867M,50.84B,13.25
"United Parcel Service, Inc.",UPS,86.62,-0.16,6.724M,73.416B,12.89
"PepsiCo, Inc.",PEP,139.70,-2.28,6.742M,191.26B,25.45
Pagaya Technologies Ltd.,PGY,29.65,+0.25,5.696M,2.271B,--
NOV Inc.,NOV,13.59,-0.11,5.656M,5.047B,11.23
Roivant Sciences Ltd.,ROIV,16.26,+0.09,6.074M,11.104B,--
Omnicom Group Inc.,OMC,78.50,+0.89,5.64M,15.207B,11.23
Ares Capital Corporation,ARCC,20.12,-0.03,5.842M,14.192B,9.86
"McCormick & Company, Incorporated",MKC,68.29,-0.62,5.537M,18.322B,23.79
"Eastern Bankshares, Inc.",EBC,18.68,+0.45,5.8M,3.718B,--
Roblox Corporation,RBLX,126.27,+3.58,6.225M,87.536B,--
"Banco Santander, S.A.",SAN,10.11,-0.18,5.423M,149.848B,10.53
"Upstart Holdings, Inc.",UPST,52.61,+0.65,5.407M,5.062B,--
"CenterPoint Energy, Inc.",CNP,39.46,+0.60,5.406M,25.762B,27.59
"Klaviyo, Inc.",KVYO,26.15,+0.26,5.349M,7.845B,--
"Affirm Holdings, Inc.",AFRM,75.86,+1.03,5.283M,24.704B,505.73
"CEMEX, S.A.B. de C.V.",CX,8.99,-0.08,5.278M,13.043B,14.74
Pan American Silver Corp.,PAAS,40.03,+0.96,5.262M,16.971B,27.61
Medtronic plc,MDT,98.43,+0.73,5.293M,126.255B,27.19
"PureCycle Technologies, Inc.",PCT,14.74,+1.15,5.231M,2.655B,--
Blue Owl Capital Corporation,OBDC,12.54,-0.12,5.212M,6.409B,8.30
"Block, Inc.",XYZ,77.78,+0.83,5.206M,47.327B,16.58
The Charles Schwab Corporation,SCHW,94.00,-0.08,5.238M,170.631B,25.27
